,emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
4333,associate broker,4.0,NM,MORTGAGE,17500,60,11.99
4334,juvenile program manager,6.0,GA,RENT,15000,60,17.47
4335,finance associate,10.0,VA,MORTGAGE,20000,36,9.92
4336,rn,10.0,MN,RENT,8000,36,5.32
4337,workforce analyst,2.0,KS,RENT,6300,36,13.59
4338,behavioral health coordinator ,10.0,OK,MORTGAGE,15000,36,9.93
4339,branch manager,8.0,FL,RENT,7000,36,21.45
4340,agent,10.0,CA,OWN,8000,36,16.02
4341,team leader ,7.0,NH,MORTGAGE,10000,36,6.72
4342,corrections police officer,10.0,NJ,MORTGAGE,32000,60,21.45
4343,service director,10.0,CA,OWN,36000,60,11.98
4344,staff accountant,9.0,AZ,MORTGAGE,9600,36,7.96
4345,emt,8.0,NJ,RENT,15000,36,19.03
4346,president,10.0,FL,MORTGAGE,40000,60,9.93
4347,,,WA,RENT,10500,36,14.07
4348,cheese maker,10.0,WI,MORTGAGE,12000,60,15.04
4349,cnc operator,10.0,TX,MORTGAGE,10200,60,9.44
4350,machinist ,8.0,WA,RENT,22000,36,20.0
4351,rn,0.0,MI,RENT,4500,36,11.99
4352,shipping ,4.0,FL,RENT,5600,36,6.07
4353,owner,2.0,CA,RENT,17000,60,9.43
4354,assistant professor,0.0,TX,RENT,6000,36,11.99
4355,"realtor, abr, cbr",4.0,MA,MORTGAGE,15000,36,19.03
4356,account representative,0.0,TX,MORTGAGE,9500,36,12.62
4357,wood work and painting,10.0,VA,RENT,21000,36,7.34
4358,owner,2.0,IL,MORTGAGE,15000,36,7.96
4359,inside sales / customer service,10.0,WA,RENT,12000,36,10.41
4360,senior inspector,5.0,NC,OWN,11200,60,14.08
4361,integrations isd team lead,6.0,MA,MORTGAGE,30000,36,19.42
4362,electrical assembler,5.0,WI,RENT,6600,36,17.09
4363,project accountant 2,5.0,GA,MORTGAGE,4000,36,9.93
4364,investigator,1.0,CA,RENT,25000,36,15.04
4365,manager,9.0,AK,OWN,19000,36,6.71
4366,director/paramedic,2.0,ID,RENT,17575,36,20.39
4367,insurance agent,10.0,CA,MORTGAGE,20000,60,23.88
4368,hr specialist,8.0,CA,MORTGAGE,1200,36,9.44
4369,project manager ,6.0,VA,RENT,2100,36,19.03
4370,fire sprinkler technician,2.0,AK,RENT,29000,36,9.44
4371,registrar,2.0,NY,RENT,25000,36,9.92
4372,manager,1.0,CO,RENT,16000,36,16.01
4373,,,MN,RENT,3000,36,9.93
4374,product development engineer- ford,4.0,MI,RENT,25000,36,5.32
4375,human services,4.0,MN,RENT,13500,60,17.09
4376,office manager,10.0,OH,MORTGAGE,25000,36,7.96
4377,bus driver,0.0,TN,MORTGAGE,5400,36,7.34
4378,guest service agent,6.0,CA,RENT,6000,36,9.43
4379,therapist,2.0,FL,OWN,40000,36,10.91
4380,account exec,4.0,NC,MORTGAGE,35000,36,16.02
4381,crew,0.0,CA,RENT,5000,36,11.99
4382,business development officer,3.0,CO,MORTGAGE,30000,36,7.35
4383,,,CA,OWN,15000,36,23.87
4384,hr consultant,5.0,OH,RENT,14400,36,7.97
4385,it manager,4.0,TX,OWN,20000,36,14.08
4386,quality control,1.0,MO,RENT,30000,36,10.9
4387,machine oper,7.0,WI,OWN,2500,36,14.07
4388,journeyman,10.0,CA,MORTGAGE,32000,36,9.44
4389,service tech,2.0,TN,MORTGAGE,4000,36,9.92
4390,manager,10.0,VA,RENT,8400,36,10.91
4391,production control manager,9.0,TX,OWN,12000,60,11.99
4392,,,CA,RENT,21000,60,23.88
4393,adminstrative assisant,10.0,NY,MORTGAGE,10000,36,16.02
4394,software engineer,10.0,NH,MORTGAGE,25000,60,7.35
4395,assistant branch manager,5.0,NJ,RENT,19000,36,21.85
4396,executive manger,10.0,MA,MORTGAGE,19450,36,21.45
4397,information security officer,10.0,CA,RENT,16000,60,16.02
4398,science teacher,10.0,MN,MORTGAGE,25200,36,10.91
4399,superintendent,1.0,FL,MORTGAGE,20000,36,12.61
4400,stocker,7.0,OH,RENT,1300,36,10.91
4401,team leader,3.0,OH,OWN,14000,60,17.47
4402,,,FL,OWN,8400,36,9.44
4403,account executive,0.0,TX,MORTGAGE,22000,60,12.62
4404,"director, client engagement",7.0,KS,OWN,6400,36,14.08
4405,911 dispatcher ,6.0,AZ,RENT,6000,36,6.08
4406,truck driver ,5.0,ND,RENT,9000,36,13.58
4407,driver,2.0,MI,OWN,20000,36,9.93
4408,,,KY,MORTGAGE,25200,60,11.98
4409,,,VA,OWN,9900,36,7.35
4410,communications,1.0,NJ,OWN,12000,36,7.35
4411,director of operations,9.0,WA,MORTGAGE,35000,36,12.62
4412,assistant chief of health and safety,1.0,NC,RENT,24000,60,11.99
4413,cpa,2.0,TX,MORTGAGE,20000,60,17.09
4414,security,10.0,MO,MORTGAGE,7000,36,7.34
4415,ics- data- manager ,10.0,NY,OWN,35000,60,21.45
4416,physician assistant ,2.0,NY,MORTGAGE,40000,60,9.43
4417,machinist,9.0,PA,OWN,4800,36,10.91
4418,electrical spare coordinator ,0.0,FL,MORTGAGE,10000,36,12.61
4419,research assistant,3.0,CA,RENT,12000,36,9.43
4420,principal ,2.0,TX,MORTGAGE,16000,36,9.92
4421,tech,2.0,GA,MORTGAGE,30000,36,10.9
4422,office manager,10.0,NJ,OWN,6000,36,11.98
4423,,,NJ,OWN,12800,36,17.09
4424,package handler,10.0,KY,RENT,16000,36,25.82
4425,,,TX,RENT,5000,36,16.01
4426,supervisor ,10.0,MD,OWN,15000,60,19.42
4427,,,CO,RENT,34800,36,13.59
4428,field inspector,5.0,VA,MORTGAGE,4500,36,9.44
4429,,,WA,OWN,40000,36,9.92
4430,assistant manager,10.0,MA,MORTGAGE,6025,36,10.9
4431,lead maintenance tech,2.0,MI,MORTGAGE,24000,60,9.44
4432,,,MD,MORTGAGE,14000,60,13.58
4433,maintenance tech,10.0,IN,MORTGAGE,12000,60,13.59
4434,business analyst/salesforce admin,10.0,MA,RENT,36000,60,9.43
4435,,,TX,MORTGAGE,16000,60,10.9
4436,supervisor,10.0,TX,OWN,15000,60,20.0
4437,deli/bakery manager,10.0,NC,OWN,10000,60,13.59
4438,designer,1.0,MA,RENT,7500,36,15.05
4439,,,NY,OWN,6000,36,6.08
4440,sales,7.0,NV,RENT,25600,60,15.05
4441,government operations consultant,3.0,FL,MORTGAGE,25025,60,16.01
4442,web/graphic designer,10.0,WA,MORTGAGE,30000,60,10.9
4443,paralegal,4.0,SC,MORTGAGE,13000,60,23.88
4444,admin,7.0,MN,MORTGAGE,40000,36,9.43
4445,tech,2.0,CA,MORTGAGE,30000,36,5.32
4446,professor,2.0,SC,RENT,8500,36,10.91
4447,order selecter,10.0,CA,MORTGAGE,15000,36,7.96
4448,ceo,10.0,CA,RENT,10000,36,9.44
4449,dental hygienst,10.0,OK,OWN,24000,60,15.05
4450,vice president,10.0,MD,MORTGAGE,15000,36,15.04
4451,paramedic ,2.0,OK,RENT,3200,36,10.42
4452,instructor,10.0,PA,RENT,7000,36,5.32
4453,,,TX,OWN,10000,60,10.42
4454,field service engineer,1.0,CO,RENT,10000,36,7.35
4455,sales,10.0,TX,MORTGAGE,15000,36,14.08
4456,,,GA,MORTGAGE,10000,36,5.31
4457,sales,3.0,WV,MORTGAGE,26100,60,10.9
4458,rvp,1.0,CO,RENT,20000,60,16.02
4459,vault cashier,2.0,FL,RENT,10000,36,10.42
4460,area manager,10.0,TX,MORTGAGE,25000,36,11.99
4461,technical support specialist,10.0,FL,MORTGAGE,35000,60,20.0
4462,court reporter,10.0,CA,MORTGAGE,14000,36,13.59
4463,teacher,10.0,NV,OWN,30000,36,17.47
4464,loader,10.0,PA,MORTGAGE,15000,60,19.42
4465,drywall taper ,0.0,CA,RENT,4000,36,6.72
4466,language instructor,7.0,CA,RENT,10000,36,14.08
4467,senior technical analyst,3.0,OH,OWN,24000,60,12.61
4468,attorney,10.0,CA,MORTGAGE,30000,36,5.32
4469,cleaning business,10.0,MI,MORTGAGE,3600,36,11.99
4470,,,NY,RENT,16000,36,6.71
4471,cashier,4.0,NY,RENT,10000,36,10.91
4472,senior lean analysts ,10.0,OH,OWN,10000,36,15.05
4473,patient care coordinator ,3.0,NV,RENT,14500,36,6.07
4474,sr instructional designer,2.0,KS,MORTGAGE,22400,60,11.98
4475,sr director it&s,10.0,FL,OWN,25000,36,9.44
4476,engineer,10.0,AL,MORTGAGE,10000,36,6.71
4477,"senior accountant, cca",2.0,FL,RENT,14000,36,16.01
4478,correctional lieutenant,10.0,CA,OWN,32000,60,7.97
4479,business analyst ,10.0,CA,OWN,14300,60,13.58
4480,,,CA,OWN,1400,36,24.84
4481,customer service manager,7.0,FL,MORTGAGE,38000,36,7.35
4482,police detective,10.0,WI,MORTGAGE,40000,36,10.42
4483,gm,10.0,MD,MORTGAGE,25000,60,20.39
4484,fabricator,4.0,AZ,MORTGAGE,14800,60,10.91
4485,human resources specialist,10.0,MD,MORTGAGE,12000,60,25.82
4486,cyber security analyst ii,0.0,MN,MORTGAGE,16000,60,18.45
4487,manager,7.0,VA,RENT,24000,60,11.98
4488,claims,5.0,FL,RENT,4500,36,7.97
4489,field engineer ,7.0,VA,OWN,6000,36,13.59
4490,driver,0.0,IL,RENT,20000,36,10.42
4491,veteran services representative,0.0,VA,RENT,10600,36,9.44
4492,outside sales,5.0,MI,MORTGAGE,10000,36,6.08
4493,realtor,2.0,NC,OWN,7000,36,14.07
4494,uc,10.0,NY,RENT,3000,36,13.58
4495,foreman,3.0,VA,RENT,18000,36,7.97
4496,rsr driver dc,10.0,OR,MORTGAGE,10000,60,21.85
4497,registered nurse,10.0,CA,OWN,35000,36,29.69
4498,chief engineer,10.0,WI,MORTGAGE,25000,36,7.34
4499,vice president client manager,3.0,CA,MORTGAGE,12000,36,7.97
4500,director of information technology,8.0,TX,MORTGAGE,30000,60,7.35
4501,vp finance,2.0,NY,MORTGAGE,15000,36,5.32
4502,director,10.0,NY,OWN,30000,60,17.47
4503,lead processor ,7.0,IL,OWN,10000,36,7.34
4504,project manager,4.0,TX,RENT,20000,36,12.61
4505,rigger,10.0,NJ,RENT,28200,60,26.3
4506,teacher,4.0,TX,MORTGAGE,25000,60,9.92
4507,housekeeping,10.0,GA,MORTGAGE,7000,36,7.96
4508,,,NJ,OWN,18000,60,16.01
4509,journeyman,2.0,CA,MORTGAGE,19500,36,16.01
4510,paint repair assembly 2,8.0,AL,MORTGAGE,35000,36,16.01
4511,counselor,10.0,NJ,MORTGAGE,15000,60,12.62
4512,paraprofessional ,7.0,NY,RENT,15000,60,26.3
4513,workflow consultant,10.0,CA,RENT,3000,36,6.72
4514,analyst,10.0,TX,MORTGAGE,5000,36,11.99
4515,bus driver,3.0,WY,OWN,21600,60,18.45
4516,sales,1.0,MA,MORTGAGE,3000,36,7.97
4517,owner/advertiser ,5.0,FL,RENT,10000,60,12.61
4518,electrician ,3.0,PA,MORTGAGE,20000,36,7.97
4519,professor,10.0,TX,MORTGAGE,20000,36,7.34
4520,,,NM,OWN,18000,36,11.99
4521,executive director ,5.0,LA,RENT,7500,36,13.59
4522,general counsel,10.0,NH,MORTGAGE,20000,36,16.01
4523,officer,5.0,CO,RENT,6500,36,5.32
4524,billing specialist,10.0,SC,MORTGAGE,16000,36,5.32
4525,teacher,2.0,FL,MORTGAGE,7000,36,5.31
4526,refrigeration mechanic ,1.0,FL,RENT,31275,60,13.59
4527,construction plumber,3.0,NY,OWN,17800,36,6.07
4528,operator,10.0,NV,MORTGAGE,12000,36,5.32
4529,personal trainer ,2.0,FL,RENT,15000,60,25.82
4530,driver,6.0,NY,RENT,32000,36,12.62
4531,support broker,0.0,NY,RENT,25000,60,12.62
4532,dietery,10.0,MA,OWN,14000,36,6.08
4533,operation's manager,10.0,OH,MORTGAGE,8500,36,15.05
4534,,,TN,RENT,13000,60,19.42
4535,assistant manager,3.0,FL,MORTGAGE,25000,60,18.06
4536,operations manager,10.0,NY,RENT,7000,36,9.92
4537,manager,5.0,GA,RENT,16000,60,12.62
4538,sales manager,4.0,NY,MORTGAGE,3000,36,7.35
4539,teacher,8.0,SC,MORTGAGE,9600,36,10.9
4540,landscaper,2.0,FL,RENT,12000,36,6.71
4541,criminal finanacial obligaions senor,3.0,AZ,RENT,20000,36,19.03
4542,sales,3.0,OH,MORTGAGE,12000,60,11.99
4543,accounting,10.0,NY,RENT,14500,36,7.96
4544,maintenance tech 6,10.0,UT,OWN,5000,36,16.01
4545,security supervisor,4.0,MA,RENT,6025,36,7.34
4546,manager of global sales,4.0,IL,RENT,24000,36,10.41
4547,parts mgr,10.0,MS,MORTGAGE,25000,60,21.85
4548,surveyor,4.0,VA,RENT,9600,36,7.35
4549,,,CA,MORTGAGE,25500,36,10.9
4550,production supervisor,10.0,WI,MORTGAGE,15000,36,10.41
4551,qulity specialists,10.0,TN,RENT,10000,36,11.98
4552,sprinkler fitter,3.0,AZ,MORTGAGE,40000,60,11.98
4553, freight worker ,1.0,WI,MORTGAGE,6500,36,6.72
4554,software engineer,2.0,CA,RENT,12000,36,5.31
4555,general manager,5.0,AZ,RENT,20000,60,12.61
4556,wine steward,4.0,TX,MORTGAGE,18000,36,7.35
4557,rn ,10.0,WV,OWN,21000,36,7.96
4558,senior engineer,0.0,NY,RENT,30000,60,14.08
4559,,,MS,MORTGAGE,10000,60,9.93
4560,teacher,8.0,IL,MORTGAGE,18500,36,9.44
4561,teacher,1.0,TX,RENT,20000,60,16.02
4562,digital ad ops manager ,2.0,CA,RENT,12000,60,9.93
4563,assistant teacher ,3.0,NJ,RENT,12000,36,9.92
4564,medical records,3.0,FL,RENT,3500,36,19.03
4565,medical billing,7.0,FL,OWN,8000,36,9.93
4566,owner operator,5.0,MI,RENT,25000,60,16.02
4567,student services coordinator,1.0,WI,RENT,13500,36,9.93
4568,art teacher,2.0,SC,RENT,15000,36,10.42
4569,manager,8.0,IL,RENT,8400,36,10.91
4570,store manager,10.0,WI,MORTGAGE,11000,60,9.92
4571,parts dept ,0.0,NY,OWN,20000,36,9.93
4572,hardware analyst 2,1.0,NY,RENT,8400,36,9.44
4573,operator ,3.0,KY,MORTGAGE,10000,36,15.05
4574,administrator,10.0,IL,OWN,21000,36,17.09
4575,vp,1.0,CA,MORTGAGE,4000,36,6.72
4576,nurse practitioner ,4.0,TX,MORTGAGE,12000,36,6.72
4577,supervisor,6.0,FL,MORTGAGE,27025,60,21.85
4578,assembly ,10.0,IL,MORTGAGE,5000,36,16.01
4579,driver,2.0,TX,OWN,10000,36,7.96
4580,tire technician,2.0,CA,RENT,2400,36,12.62
4581,consultant ,2.0,NC,OWN,30000,60,19.03
4582,lead technologist,10.0,MD,MORTGAGE,15000,60,12.61
4583,business manager,5.0,MO,MORTGAGE,2400,36,10.9
4584,building maintenance,5.0,NY,RENT,25475,36,15.04
4585,,,FL,RENT,10000,36,15.05
4586,senior chemist ii,6.0,CT,MORTGAGE,32000,36,14.08
4587,law enforcement records tech,0.0,ID,MORTGAGE,20000,60,9.93
4588,manager,8.0,TX,MORTGAGE,40000,36,6.71
4589,set up technician,3.0,AZ,RENT,11000,36,13.59
4590,estimating coordinator,4.0,CT,MORTGAGE,12000,36,13.59
4591,production tech,4.0,KY,RENT,20000,60,12.61
4592,tile tech,10.0,OH,MORTGAGE,10000,60,16.02
4593,vice president,1.0,VA,RENT,35000,36,17.09
4594,education and design analyst,4.0,CT,RENT,5600,36,10.9
4595,warehouse supervisior,10.0,CA,RENT,19175,36,6.71
4596,accountant,10.0,AZ,MORTGAGE,40000,60,15.05
4597,loan officer,10.0,KY,MORTGAGE,14000,60,21.45
4598,salesman ,6.0,NY,MORTGAGE,40000,60,7.35
4599,database manager,1.0,NY,RENT,32000,36,6.71
4600,charge nurse,4.0,OH,RENT,15000,60,12.61
4601,lpn,2.0,WI,RENT,6000,36,6.72
4602,assembly mechanic,9.0,MO,MORTGAGE,40000,60,16.02
4603,flight supervisor,10.0,WI,RENT,20000,60,11.99
4604,support specialist ,4.0,NY,RENT,14000,36,7.96
4605,associate,0.0,CA,MORTGAGE,1500,36,10.42
4606,department supervisor,10.0,IN,MORTGAGE,5600,36,9.43
4607,,,CA,RENT,9500,36,7.35
4608,production manager,2.0,NJ,RENT,9600,36,7.97
4609,strategic medical planner,6.0,NC,MORTGAGE,25000,36,6.07
4610,school health nurse,3.0,FL,RENT,16000,60,13.59
4611,,,VA,MORTGAGE,10000,60,10.42
4612,real estate broker,10.0,CO,MORTGAGE,8000,36,6.72
4613,proyect manager,3.0,CA,RENT,8000,36,17.09
4614,claims dept,10.0,PA,MORTGAGE,16000,60,14.08
4615,pipeliner,5.0,PA,MORTGAGE,6000,36,6.71
4616,president,10.0,WA,MORTGAGE,20000,36,7.34
4617,systems analyst,10.0,AZ,MORTGAGE,4300,36,6.07
4618,i & c technician,10.0,WA,MORTGAGE,12000,60,24.85
4619,sales manager/bus development officer,0.0,PA,MORTGAGE,40000,60,16.01
4620,patient financial counselor ,10.0,CA,MORTGAGE,16000,60,14.08
4621,stability coordinator,0.0,FL,RENT,12000,36,9.43
4622,income developement specialist,2.0,TX,MORTGAGE,35000,60,29.69
4623,manager,10.0,CT,MORTGAGE,8275,36,21.45
4624,staff accountant,2.0,AR,RENT,10000,36,6.72
4625,patrol sergeant,10.0,TX,MORTGAGE,25000,60,11.99
4626,programmer,10.0,CA,MORTGAGE,15000,60,13.59
4627,professor,10.0,IN,MORTGAGE,12000,36,6.72
4628,store mgr,10.0,SC,OWN,10000,60,16.02
4629,mortgage processor,0.0,FL,RENT,15000,36,15.05
4630,,,MI,OWN,4000,36,15.05
4631,head age group coach,7.0,CA,OWN,8000,36,11.99
4632,senior designer ,2.0,FL,RENT,20575,36,7.96
4633,engineer ,9.0,MD,MORTGAGE,11000,60,15.04
4634,nurse practitioner ,0.0,SC,MORTGAGE,36000,36,9.93
4635,executive director,10.0,FL,MORTGAGE,19300,36,16.02
4636,manager,10.0,OR,RENT,10000,36,5.31
4637,senior it auditor,3.0,TX,RENT,20000,36,10.91
4638,controller,2.0,NY,MORTGAGE,20000,36,9.93
4639,general manager,10.0,CA,MORTGAGE,8000,36,10.91
4640,mk attendant ,3.0,CA,RENT,8900,36,9.92
4641,credit review manager,4.0,AZ,MORTGAGE,10000,36,5.31
4642,driver,2.0,CT,RENT,10000,60,19.42
4643,warehouse ,10.0,WA,MORTGAGE,19200,60,19.03
4644,practice leader,8.0,NY,MORTGAGE,18000,36,5.31
4645,,,TX,OWN,1600,36,11.99
4646,machinist,10.0,FL,MORTGAGE,5000,36,9.92
4647,prepress supervisor,2.0,FL,MORTGAGE,4000,36,16.02
4648,group leader hi-lo operator ,1.0,NY,RENT,25000,36,11.99
4649,recruiter,9.0,CA,RENT,16000,60,21.85
4650,mail carrier,3.0,TX,MORTGAGE,10000,36,20.39
4651,assembler,10.0,NC,RENT,1800,36,10.41
4652,electrician ,5.0,PA,RENT,15000,36,10.91
4653,foreman,7.0,FL,MORTGAGE,35000,60,20.0
4654,bus operator ,7.0,NY,RENT,18000,36,10.91
4655,business analyst v,0.0,CA,MORTGAGE,10000,60,14.08
4656,flight attendant,10.0,IL,RENT,2500,36,10.42
4657,director of laser sales,9.0,CA,MORTGAGE,35000,36,7.97
4658,,,WV,MORTGAGE,30000,36,5.31
4659,electrician,2.0,NV,RENT,40000,36,23.87
4660,senior implementation analyst,4.0,IN,MORTGAGE,3150,36,7.97
4661,dental hygienist,2.0,CO,MORTGAGE,7650,36,9.44
4662,lease operator,4.0,NM,MORTGAGE,12000,60,15.05
4663,teacher,4.0,TX,MORTGAGE,31500,60,18.45
4664,administrative assistant,10.0,WI,MORTGAGE,6600,36,10.91
4665,truck driver,10.0,TX,MORTGAGE,20000,36,6.07
4666,supervisor,7.0,NY,MORTGAGE,8000,36,9.93
4667,nuclear planner,10.0,NJ,MORTGAGE,16000,60,10.9
4668,repair agent,8.0,CA,RENT,12000,36,16.01
4669,mechanic,6.0,WA,RENT,10000,60,13.59
4670,teacher,10.0,IL,MORTGAGE,18000,36,6.71
4671,pharmacy technician,0.0,WI,RENT,15000,36,9.93
4672,fuels systems journeyman,9.0,TX,RENT,1800,36,12.62
4673,security guard,1.0,IN,RENT,4500,36,9.43
4674,maintenance mechanic ,10.0,MA,RENT,12000,36,9.93
4675,outside sales ,0.0,CO,MORTGAGE,11000,36,12.61
4676,,,KY,MORTGAGE,20000,36,11.98
4677,,,IL,MORTGAGE,2100,36,7.34
4678,manager,9.0,HI,MORTGAGE,27200,36,9.43
4679,owner,10.0,IL,RENT,35000,36,16.02
4680,buyer,2.0,FL,RENT,5600,36,13.59
4681,supervisor,2.0,NJ,RENT,15000,36,16.02
4682,office administrator,4.0,TX,RENT,30000,36,10.42
4683,hr supervisor,10.0,TX,OWN,10000,36,6.07
4684,receptionist,1.0,CA,RENT,14400,36,15.04
4685,teacher,10.0,PA,RENT,15000,60,12.62
4686,cna ,1.0,MT,RENT,5000,36,13.58
4687,manager ,10.0,FL,MORTGAGE,12000,60,10.41
4688,traffic systems specialist/electrician,10.0,CA,MORTGAGE,12000,36,10.9
4689,,,NY,RENT,2500,36,11.99
4690,title specialist ,3.0,CA,OWN,30000,60,21.45
4691,cardiothoracic surgery physician assist,4.0,NY,RENT,24000,60,11.99
4692,surgical assistant,10.0,PA,OWN,7500,36,12.62
4693,freight team member,1.0,MA,RENT,6025,36,10.41
4694,clinical assistant,2.0,TN,OWN,6000,36,10.91
4695,caregiver,3.0,OH,RENT,6000,36,12.62
4696,staff coordinator ,1.0,NJ,RENT,8000,36,9.93
4697,molder 3,9.0,MD,RENT,4700,36,19.03
4698,,,CO,MORTGAGE,36000,36,6.72
4699,,,GA,MORTGAGE,3100,36,7.35
4700,teacher ,10.0,IL,MORTGAGE,20000,36,6.72
4701,sr business system analyst,3.0,TX,RENT,20000,36,5.31
4702,emergency management specialist,10.0,FL,MORTGAGE,12000,36,10.42
4703,teacher,10.0,AL,MORTGAGE,10000,36,9.44
4704,it specialist,5.0,VA,RENT,24000,60,20.0
4705,manager ,10.0,NY,RENT,8000,36,7.35
4706,service technician,9.0,FL,MORTGAGE,5600,36,5.31
4707,nut ricin technician,8.0,TN,RENT,15000,36,6.71
4708,service advisor ,3.0,NC,MORTGAGE,13000,36,13.59
4709,case manager/social worker,9.0,MO,MORTGAGE,16000,60,11.98
4710,senior engineer,9.0,GA,MORTGAGE,24000,60,13.59
4711,manager,8.0,SC,MORTGAGE,15000,36,17.47
4712,lead frontend engineer,0.0,CA,RENT,40000,36,6.71
4713,nurse,6.0,ID,MORTGAGE,1500,36,9.43
4714,food service supervisor,10.0,FL,RENT,6000,36,14.08
4715,police lieutenant,10.0,NC,OWN,6500,36,6.07
4716,director for engineering,1.0,CA,RENT,35000,60,17.47
4717,owner,10.0,FL,MORTGAGE,5000,36,6.72
4718,ceo,10.0,NY,MORTGAGE,16300,36,12.62
4719,director,10.0,MS,OWN,35000,60,9.93
4720,nail,10.0,CA,RENT,20000,36,16.01
4721,assistant controller,5.0,RI,RENT,9600,36,9.93
4722,computer tech,10.0,NY,RENT,4000,36,15.04
4723,property assessor,10.0,TN,MORTGAGE,10000,36,6.72
4724,country benefits manager,1.0,DC,RENT,35000,36,11.99
4725,mechanic,10.0,MN,MORTGAGE,40000,60,9.93
4726,worship pastor,10.0,SC,MORTGAGE,4000,36,13.58
4727,vp sales,4.0,TX,MORTGAGE,7925,36,11.99
4728,notary,8.0,VA,RENT,8000,36,18.45
4729,director of operations,2.0,NV,MORTGAGE,9000,36,6.72
4730,operations supervisor,7.0,CA,RENT,12000,36,16.02
4731,senior mechanical engineer,1.0,MA,RENT,6000,36,5.31
4732,sales operation,1.0,CA,RENT,11000,36,7.34
4733,training nco,10.0,MD,RENT,3600,36,6.72
4734,vp of finance and administration,6.0,FL,MORTGAGE,25000,36,15.05
4735,sport science,4.0,CA,RENT,12000,60,25.82
4736,,,FL,RENT,10000,60,26.3
4737,insurance producer,1.0,LA,MORTGAGE,15000,36,7.35
4738,"vp, digital operations",6.0,CA,MORTGAGE,24000,60,9.93
4739,drilling fluids engineer,10.0,OK,MORTGAGE,24000,36,5.32
4740,professional support employee,10.0,OK,MORTGAGE,26000,36,7.34
4741,asst to ceo,10.0,CA,RENT,18000,36,13.59
4742,senior software engineer,10.0,KS,MORTGAGE,40000,60,7.96
4743,teacher,3.0,TX,MORTGAGE,12000,36,16.01
4744,research technician ,2.0,NY,RENT,10000,36,14.08
4745,,,WA,MORTGAGE,18000,60,11.99
4746,"manager, branch services",3.0,CO,MORTGAGE,30000,36,15.05
4747,software engineer,2.0,UT,RENT,12000,36,9.93
4748,crna,2.0,TX,RENT,32000,36,9.93
4749,clinical laboratory scientist,5.0,CA,OWN,40000,60,12.61
4750,custodian ,1.0,IL,OWN,3000,36,15.05
4751,operations manager,3.0,NY,RENT,6000,36,11.99
4752,social service director,7.0,MI,MORTGAGE,15000,36,11.98
4753,supervisor ,2.0,GA,OWN,15000,60,13.59
4754,environmental systems supervisor ,10.0,MD,RENT,15000,36,17.47
4755,,,OH,OWN,10300,36,20.0
4756,city carrier,10.0,CA,RENT,30000,60,13.59
4757,senior supervisor,8.0,NY,RENT,21925,36,10.91
4758,owner/sales rep,4.0,VA,RENT,40000,36,10.91
4759,auto tech,10.0,TX,MORTGAGE,10000,36,7.35
4760,client relations manager,1.0,KS,RENT,10000,60,13.58
4761,account associate,10.0,MA,RENT,8000,36,19.03
4762,social worker,2.0,MA,RENT,18000,36,6.71
4763,manager ,10.0,WA,MORTGAGE,21000,60,9.93
4764,communications,2.0,NJ,RENT,18000,36,14.07
4765,accounting specialist,4.0,MD,MORTGAGE,10000,36,17.09
4766,truck driver,10.0,AR,MORTGAGE,15000,36,10.91
4767,caterer,10.0,MO,OWN,22400,36,17.09
4768,assistant propmaster,10.0,CA,RENT,20000,36,6.08
4769,director of sales ,5.0,SC,MORTGAGE,5000,36,10.91
4770,clerk,5.0,NY,RENT,10000,60,24.85
4771,server,0.0,NC,RENT,5000,36,15.05
4772,public health nurse senior,10.0,VA,MORTGAGE,3000,36,6.08
4773,office manager,4.0,CA,RENT,12000,60,12.61
4774,clerk,9.0,NY,RENT,20800,36,6.72
4775,hcc coder,1.0,OH,MORTGAGE,10000,36,9.44
4776,owner,10.0,NC,RENT,20000,36,6.71
4777,golf course supt,10.0,SC,MORTGAGE,37000,60,10.42
4778,manager,3.0,IN,RENT,6000,36,6.72
4779,customer service ,2.0,NY,OWN,10000,36,9.93
4780,director of facilities and logistics,10.0,MD,MORTGAGE,20000,36,6.72
4781,senior army instructor,6.0,TX,MORTGAGE,18000,60,9.44
4782,chef,2.0,NY,MORTGAGE,10000,36,13.59
4783,teacher,10.0,LA,MORTGAGE,25000,60,12.61
4784,cashier,1.0,KY,RENT,5000,36,21.45
4785,project manager,10.0,VA,MORTGAGE,6000,36,9.43
4786,,,NY,RENT,8400,36,6.71
4787,national sales manager,0.0,NY,MORTGAGE,23000,60,9.92
4788,church administrator,10.0,GA,MORTGAGE,3025,36,19.42
4789,property manager,10.0,MA,RENT,25000,36,14.08
4790,technician,10.0,KY,RENT,25000,60,20.0
4791,service consultant,10.0,MI,RENT,5000,36,9.93
4792,logistics management specialist,10.0,TX,OWN,20000,36,7.35
4793,financial management,10.0,MD,MORTGAGE,35000,36,18.06
4794,production scheduler,10.0,VA,OWN,15000,60,14.08
4795,driver,0.0,CT,MORTGAGE,6000,36,13.59
4796,partner development manager,2.0,TX,MORTGAGE,19000,36,7.96
4797,teacher,10.0,OH,MORTGAGE,40000,36,5.31
4798,appraiser,0.0,UT,RENT,10000,36,10.41
4799,statistician,10.0,MD,MORTGAGE,40000,60,9.44
4800,income manteinance caseworker,0.0,PA,MORTGAGE,18000,60,13.58
