,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
4769,director of sales ,5.0,SC,MORTGAGE,58000.0,Source Verified,3.72,,,,0,30.0,2009,2,14,6,266417,12488,0,0,30.0,0,575,2,5,6.0,6,0.0,0,2,3900,4,3,2,2,71.4,0,0,debt_consolidation,individual,5000,36,10.91,163.49,B,B4,Jan-2018,Current,fractional,Cash,4521.4,650.93,478.6,172.33,0.0
4781,senior army instructor,6.0,TX,MORTGAGE,110000.0,Not Verified,17.98,,,,0,56.0,2000,2,27,10,367911,60513,0,0,,0,0,6,1,1.0,10,0.0,0,1,13200,6,3,2,2,96.3,0,0,debt_consolidation,individual,18000,60,9.44,377.51,B,B1,Jan-2018,Current,whole,Cash,16801.75,1878.11,1198.25,679.86,0.0
4785,project manager,10.0,VA,MORTGAGE,80000.0,Not Verified,5.81,,,,0,35.0,1997,1,44,13,214600,13327,0,0,35.0,0,1000,0,5,10.0,13,0.0,0,3,31000,36,12,4,3,86.4,0,0,home_improvement,individual,6000,36,9.43,192.01,B,B1,Feb-2018,Current,whole,Cash,5413.69,764.9,586.31,178.59,0.0
4791,service consultant,10.0,MI,RENT,60000.0,Not Verified,10.96,,,,0,67.0,2007,7,5,2,30741,24730,0,1,,0,0,1,1,6.0,2,0.0,0,1,8500,2,1,1,0,80.0,0,1,credit_card,individual,5000,36,9.93,161.18,B,B2,Jan-2018,Current,whole,Cash,4390.98,803.14,609.02,194.12,0.0
4798,appraiser,0.0,UT,RENT,24000.0,Not Verified,17.65,,,,0,58.0,2006,0,21,6,23200,13415,0,0,58.0,0,0,0,2,,6,0.0,0,4,19200,7,6,5,8,80.0,0,0,debt_consolidation,individual,10000,36,10.41,324.61,B,B3,Mar-2018,Current,fractional,Cash,9280.21,968.05,719.79,248.26,0.0
4803,soldier,5.0,MD,RENT,56912.0,Source Verified,17.36,,,,0,74.0,2009,4,21,11,78289,36562,0,0,74.0,0,0,2,8,4.0,11,0.0,0,3,19400,11,9,5,0,95.0,0,0,debt_consolidation,individual,12000,36,6.71,368.94,A,A3,Mar-2018,Current,whole,Cash,11089.41,1088.93,910.59,178.34,0.0
4807,technician,10.0,TX,RENT,60000.0,Not Verified,5.56,,,,0,89.0,2000,0,22,5,10000,7749,0,0,89.0,0,886,0,1,15.0,5,0.0,0,3,7100,10,5,5,0,95.5,0,0,other,individual,8000,36,9.93,257.88,B,B2,Jan-2018,Current,whole,Cash,7025.61,1284.99,974.39,310.6,0.0
4810,rdaef ,2.0,CA,MORTGAGE,39000.0,Not Verified,5.23,,,,0,49.0,2000,5,25,12,168337,3907,0,1,49.0,0,984,0,13,6.0,12,0.0,0,2,7900,19,11,5,1,88.0,0,1,debt_consolidation,individual,5000,36,11.99,166.05,B,B5,Feb-2018,Current,fractional,Cash,4528.63,660.87,471.37,189.5,0.0
4817,chemist,2.0,FL,RENT,60000.0,Not Verified,8.3,,,,0,26.0,2013,0,4,4,17359,10091,0,0,,0,0,1,3,19.0,4,0.0,0,0,1000,3,3,1,0,75.0,0,0,car,individual,6500,36,10.42,211.03,B,B3,Jan-2018,Current,whole,Cash,5713.52,1051.39,786.48,264.91,0.0
4818,sr housing counselor,3.0,CA,MORTGAGE,75000.0,Source Verified,3.06,,,,0,27.0,2008,3,9,9,534372,6202,0,2,33.0,0,0,0,6,8.0,9,0.0,0,7,44100,7,7,7,1,100.0,2,0,debt_consolidation,individual,10000,36,6.72,307.5,A,A3,Feb-2018,Current,whole,Cash,8985.61,1226.27,1014.39,211.88,0.0
4822,manager,10.0,MI,RENT,84000.0,Source Verified,15.23,,,,0,96.0,2006,1,19,13,74900,24189,0,0,96.0,0,0,1,3,0.0,13,0.0,0,4,50700,18,12,4,0,94.7,0,0,debt_consolidation,individual,30000,36,9.93,967.03,B,B2,Mar-2018,Current,fractional,Cash,27825.77,2884.54,2174.23,710.31,0.0
4841,property manager,10.0,WV,MORTGAGE,50000.0,Source Verified,14.11,,,,0,61.0,2004,2,31,20,240758,12199,0,6,65.0,0,4314,0,14,1.0,20,0.0,0,8,16400,25,19,16,3,100.0,5,1,credit_card,individual,10400,36,10.9,340.0,B,B4,Mar-2018,Current,whole,Cash,9656.69,1007.4,743.31,264.09,0.0
4846,pediatrician,10.0,CA,MORTGAGE,275000.0,Not Verified,9.72,,,,0,48.0,1995,2,26,13,884610,127446,0,0,49.0,0,0,4,6,5.0,13,0.0,0,7,64600,15,7,7,3,84.0,0,0,credit_card,individual,40000,36,7.35,1241.5,A,A4,Jan-2018,Current,whole,DirectPay,34956.09,6191.17,5043.91,1147.26,0.0
4851,billing lead,10.0,NC,RENT,57500.0,Not Verified,11.15,,,,0,31.0,1987,1,35,13,32745,16802,0,1,62.0,0,50,0,9,5.0,13,0.0,0,3,5600,22,11,7,1,88.9,0,1,credit_card,individual,10000,36,10.91,326.97,B,B4,Jan-2018,Current,whole,Cash,8798.08,1619.7,1201.92,417.78,0.0
4854,claim specialist,8.0,FL,MORTGAGE,65000.0,Not Verified,16.89,,,,0,35.0,1990,1,30,12,82173,41188,0,0,35.0,0,0,3,7,12.0,12,0.0,0,4,13800,21,9,6,1,96.7,0,0,debt_consolidation,individual,5000,36,9.92,161.15,B,B2,Mar-2018,Current,whole,Cash,4759.38,316.79,240.62,76.17,0.0
4856,,,FL,RENT,75000.0,Source Verified,10.19,,,,0,69.0,2004,0,9,4,32200,22582,0,0,69.0,0,0,0,4,,4,0.0,0,2,7200,8,4,3,1,77.8,0,0,credit_card,individual,22000,36,6.71,676.39,A,A3,Mar-2018,Fully Paid,whole,DirectPay,0.0,22340.387088082,22000.0,340.39,0.0
4861,senior accountant ,10.0,MA,OWN,83800.0,Source Verified,13.94,,,,0,39.0,2002,2,32,20,120304,34499,0,0,128.0,0,0,2,4,3.0,20,0.0,0,3,29500,26,17,7,0,93.1,0,0,house,individual,30000,60,10.42,643.63,B,B3,Feb-2018,Current,whole,Cash,28447.4,2609.25,1552.6,1056.65,0.0
4862,product man,2.0,GA,RENT,102500.0,Not Verified,3.52,,,,0,70.0,2000,0,18,10,92840,127470,0,1,70.0,0,61,1,0,,10,0.0,0,3,18000,12,9,4,0,83.3,1,0,debt_consolidation,individual,15000,36,6.71,461.18,A,A3,Mar-2018,Current,whole,Cash,13861.74,1377.95,1138.26,239.69,0.0
4863,senior visual merchandising manager,10.0,NY,RENT,106000.0,Verified,9.97,,,,0,77.0,2007,1,16,10,117173,34568,0,0,,0,0,2,4,10.0,10,0.0,0,0,34400,12,7,0,0,93.8,0,0,debt_consolidation,individual,20000,36,6.08,609.17,A,A2,Feb-2018,Current,whole,Cash,17953.16,2429.92,2046.84,383.08,0.0
4872,foreman,3.0,MD,OWN,85000.0,Not Verified,11.07,,,,0,67.0,2004,1,25,11,298491,37578,0,0,,0,0,2,4,2.0,11,0.0,0,1,19800,18,8,2,2,100.0,0,0,debt_consolidation,individual,25000,36,7.34,775.82,A,A4,Feb-2018,Current,fractional,Cash,23119.84,2317.27,1880.16,437.11,0.0
4881,realtor,10.0,PA,MORTGAGE,163000.0,Not Verified,6.46,,,,0,31.0,1998,2,23,14,132266,34799,0,0,,0,369,1,3,10.0,14,0.0,0,2,97000,17,12,4,3,100.0,0,0,home_improvement,individual,28000,36,7.35,869.05,A,A4,Jan-2018,Current,whole,Cash,24469.26,4333.82,3530.74,803.08,0.0
4890,driver ,2.0,MD,MORTGAGE,65000.0,Source Verified,13.37,,,,0,35.0,2005,2,16,4,160060,30871,0,0,60.0,0,0,1,2,0.0,4,0.0,0,2,6800,10,2,2,2,87.5,0,0,vacation,individual,10000,36,7.35,310.38,A,A4,Jan-2018,Current,whole,Cash,8739.0,1547.82,1261.0,286.82,0.0
4898,nurse,10.0,NY,OWN,100000.0,Verified,7.48,,,,0,67.0,1993,1,13,11,52018,39895,0,0,67.0,0,0,5,4,6.0,11,0.0,0,3,10700,6,6,4,0,92.3,0,0,debt_consolidation,individual,13000,36,10.41,421.99,B,B3,Mar-2018,Current,whole,Cash,12064.28,1250.93,935.72,315.21,0.0
4928,director marketing ,10.0,AZ,MORTGAGE,170000.0,Not Verified,15.48,,,,0,75.0,1999,2,20,9,136526,96747,0,0,76.0,0,0,3,1,5.0,9,0.0,0,4,38800,8,5,5,1,90.0,0,0,credit_card,individual,40000,60,10.42,858.18,B,B3,Jan-2018,Current,whole,Cash,37401.02,4267.74,2598.98,1668.76,0.0
4929,operator,9.0,TX,MORTGAGE,81000.0,Not Verified,11.07,,,,0,29.0,2012,0,19,11,179394,24939,0,0,,0,524,2,5,19.0,11,0.0,0,2,4100,7,7,6,1,94.7,0,0,debt_consolidation,individual,5500,36,10.91,179.83,B,B4,Feb-2018,Current,whole,Cash,4973.57,715.99,526.43,189.56,0.0
4933,special education teacher,6.0,CA,RENT,89000.0,Not Verified,6.94,,,,0,40.0,2011,5,14,9,53200,9510,0,0,,0,0,2,6,1.0,9,0.0,0,1,34200,8,7,1,0,92.9,0,0,major_purchase,individual,6000,36,9.44,192.03,B,B1,Jan-2018,Current,whole,Cash,5264.37,957.0,735.63,221.37,0.0
4953,clerk,3.0,MN,MORTGAGE,40000.0,Not Verified,6.0,,,,0,61.0,2005,2,22,8,67555,6216,0,0,,0,0,0,6,5.0,8,0.0,0,2,6700,10,7,6,2,90.9,0,0,debt_consolidation,individual,1000,36,9.93,32.24,B,B2,Jan-2018,Current,whole,Cash,878.18,160.65,121.82,38.83,0.0
4956,,,NY,MORTGAGE,72000.0,Not Verified,19.38,,,,0,27.0,1994,2,18,11,104611,25657,0,0,,0,0,2,2,0.0,11,0.0,0,7,25300,11,8,8,1,94.4,0,0,debt_consolidation,individual,24000,60,9.44,503.35,B,B1,Feb-2018,Current,whole,DirectPay,22726.88,1981.93,1273.12,708.81,0.0
4997,massage therapist,5.0,MA,RENT,25000.0,Source Verified,10.95,,,,0,68.0,1996,0,12,6,11811,7800,0,0,68.0,0,0,2,2,,6,0.0,0,1,1500,6,4,3,0,83.3,0,0,debt_consolidation,individual,7225,36,10.91,236.23,B,B4,Jan-2018,Current,whole,Cash,6356.64,1172.39,868.36,304.03,0.0
5006,sales representative,10.0,NC,MORTGAGE,130000.0,Not Verified,10.84,,,,0,79.0,1984,1,50,22,454185,56660,0,0,,0,0,1,6,9.0,22,0.0,0,6,139900,33,19,8,8,98.0,0,0,credit_card,individual,12000,36,5.32,361.38,A,A1,Jan-2018,Current,whole,Cash,10445.38,1803.35,1554.62,248.73,0.0
5014,associate editor,7.0,MA,RENT,32000.0,Source Verified,13.84,,,,0,29.0,2001,0,14,4,66145,72596,0,0,48.0,0,0,1,1,,4,0.0,0,1,2000,6,3,3,0,85.7,0,0,debt_consolidation,individual,7225,36,10.9,236.2,B,B4,Mar-2018,Current,whole,Cash,6666.78,751.84,558.22,193.62,0.0
5027,nursing,10.0,CA,RENT,40000.0,Source Verified,16.77,,,,0,63.0,2003,3,25,15,42500,15079,0,0,63.0,0,0,0,7,5.0,15,0.0,0,6,21200,20,15,12,1,96.0,0,0,debt_consolidation,individual,20000,36,10.41,649.21,B,B3,Feb-2018,Current,whole,Cash,18560.45,1936.06,1439.55,496.51,0.0
5031,sales consultant,5.0,RI,MORTGAGE,104000.0,Source Verified,2.7,,,,0,55.0,2009,4,12,8,193700,6737,0,1,,0,525,0,3,2.0,8,0.0,0,3,24300,7,7,4,2,91.7,0,1,debt_consolidation,individual,25000,60,9.92,530.2,B,B2,Mar-2018,Current,whole,Cash,24021.35,1576.82,978.65,598.17,0.0
5034,nurse,1.0,AR,MORTGAGE,60000.0,Not Verified,15.78,,,,0,49.0,2000,6,22,14,80738,48966,0,0,,0,0,6,3,1.0,14,0.0,0,5,57500,13,8,5,0,95.5,0,0,major_purchase,individual,15000,36,11.99,498.15,B,B5,Feb-2018,Current,fractional,Cash,13585.88,1967.62,1414.12,553.5,0.0
5047,sales manager,10.0,DE,MORTGAGE,135000.0,Source Verified,9.0,,,,0,67.0,1997,3,51,13,368171,65570,0,0,,0,0,2,8,9.0,13,0.0,0,1,70100,20,9,2,7,98.0,0,0,debt_consolidation,individual,15000,60,7.35,299.51,A,A4,Jan-2018,Current,whole,Cash,13949.03,1491.43,1050.97,440.46,0.0
5058,,,NY,RENT,15000.0,Verified,19.44,,,,0,45.0,2006,2,19,9,64200,5189,0,0,,0,0,1,8,4.0,9,0.0,0,5,55700,17,8,5,0,89.5,0,0,other,individual,4000,36,9.93,128.94,B,B2,Jan-2018,Current,fractional,Cash,2915.12,1195.06,1084.88,110.18,0.0
5063,senior collector ,8.0,PA,MORTGAGE,92400.0,Not Verified,14.51,,,,0,31.0,1997,0,21,9,273490,40361,0,0,38.0,0,0,4,4,13.0,9,,0,1,750,10,4,3,2,71.0,0,0,debt_consolidation,individual,6000,36,10.41,194.77,B,B3,Mar-2018,Current,whole,Cash,5713.32,386.07,286.68,99.39,0.0
5075,bartender,10.0,NV,MORTGAGE,95000.0,Source Verified,6.7,,,,0,25.0,1992,4,34,16,34277,7402,0,0,50.0,0,350,1,7,5.0,16,0.0,0,2,20000,27,14,3,2,87.9,0,0,debt_consolidation,individual,20000,36,9.43,640.01,B,B1,Mar-2018,Fully Paid,whole,Cash,0.0,20006.0202777777,20000.0,6.02,0.0
5091,srsupervisor,10.0,NJ,MORTGAGE,81000.0,Source Verified,3.23,,,,0,45.0,1978,9,16,7,293575,6858,0,0,45.0,0,379,0,2,4.0,7,0.0,0,3,51200,7,6,5,3,80.0,0,0,debt_consolidation,individual,12500,36,6.72,384.37,A,A3,Jan-2018,Current,whole,Cash,11231.92,1532.81,1268.08,264.73,0.0
5092,patient care liaison/triage tech/lead,5.0,NJ,MORTGAGE,42000.0,Source Verified,3.57,,,,0,73.0,2007,5,15,12,64800,3640,0,0,75.0,0,0,0,10,11.0,12,0.0,0,4,15000,13,11,5,1,93.3,0,0,house,individual,20000,60,10.91,433.96,B,B4,Feb-2018,Current,whole,Cash,18977.66,1723.72,1022.34,701.38,0.0
5114,"manager, sales operations",0.0,IL,MORTGAGE,77000.0,Verified,18.52,,,,0,71.0,2004,5,23,11,402377,53149,0,0,,0,0,2,7,2.0,11,0.0,0,2,26700,13,8,4,5,95.7,0,0,debt_consolidation,individual,22000,60,9.44,461.4,B,B1,Feb-2018,Current,whole,Cash,20832.99,1822.52,1167.01,655.51,0.0
5166,auto glass technician ,3.0,MI,MORTGAGE,68000.0,Not Verified,11.61,,,,0,72.0,2007,1,19,7,120865,40617,0,0,72.0,0,0,3,5,9.0,7,0.0,0,1,8400,4,3,2,1,84.2,0,0,major_purchase,individual,3800,36,7.96,119.01,A,A5,Mar-2018,Current,whole,Cash,2377.08,1480.35,1422.92,57.43,0.0
5169,counselor,10.0,TX,MORTGAGE,80000.0,Source Verified,16.79,,,,0,45.0,2007,2,11,8,118596,48709,0,0,45.0,0,0,1,3,1.0,8,0.0,0,3,9300,6,6,3,1,90.9,0,0,other,individual,11875,36,9.93,382.79,B,B2,Jan-2018,Current,whole,Cash,10428.64,1907.4,1446.36,461.04,0.0
5180,,,CA,RENT,25000.0,Source Verified,8.83,,,,0,50.0,1999,0,31,10,16400,2512,0,2,50.0,0,0,0,5,17.0,9,0.0,0,2,4700,29,10,7,1,96.3,0,2,debt_consolidation,individual,4200,36,10.42,136.36,B,B3,Feb-2018,Current,fractional,Cash,3795.21,540.58,404.79,135.79,0.0
5182,cct,2.0,TX,RENT,42000.0,Not Verified,19.59,,,,0,65.0,2004,1,31,7,77181,34982,0,0,,0,0,3,4,6.0,7,0.0,0,2,21100,12,4,3,1,96.8,0,0,other,individual,10000,36,5.31,301.11,A,A1,Mar-2018,Current,whole,Cash,9226.01,900.38,773.99,126.39,0.0
5188,barista,3.0,NY,RENT,45000.0,Source Verified,4.11,,,,0,42.0,2006,1,5,3,15400,5155,0,0,42.0,0,0,0,1,4.0,3,0.0,0,1,15400,3,3,1,0,60.0,0,0,major_purchase,individual,12000,36,9.92,386.76,B,B2,Mar-2018,Current,whole,Cash,11422.5,766.91,577.5,189.41,0.0
5191,"director, quality improvement",9.0,GA,MORTGAGE,235000.0,Source Verified,8.83,,,,0,29.0,2000,3,21,7,497540,70167,0,0,40.0,0,0,3,4,3.0,7,0.0,0,3,25500,13,3,3,4,76.2,0,0,debt_consolidation,individual,40000,36,10.91,1307.85,B,B4,Jan-2018,Current,fractional,Cash,35192.45,6527.14,4807.55,1719.59,0.0
5197,owner,3.0,CA,MORTGAGE,80000.0,Verified,12.01,,,,0,36.0,2005,2,12,6,79888,44600,0,0,36.0,0,0,1,5,1.0,6,0.0,0,2,23700,8,5,2,0,83.3,0,0,debt_consolidation,individual,40000,36,6.08,1218.33,A,A2,Feb-2018,Current,whole,Cash,35906.36,4771.99,4093.64,678.35,0.0
5200,medical gas verifier,8.0,NH,OWN,54000.0,Verified,7.75,125000.0,Not Verified,4.14,0,25.0,1989,1,27,10,275688,15338,0,0,,0,0,2,3,9.0,10,0.0,0,3,45200,19,7,3,1,96.3,0,0,debt_consolidation,joint,15000,36,6.08,456.88,A,A2,Jan-2018,Current,whole,Cash,13076.2,2274.27,1923.8,350.47,0.0
5214,manager,3.0,MA,MORTGAGE,65000.0,Not Verified,4.86,,,,0,36.0,2001,4,26,16,246834,23257,0,0,,0,0,0,8,3.0,16,0.0,0,3,23700,20,15,7,1,92.0,0,0,debt_consolidation,individual,9100,36,5.32,274.05,A,A1,Mar-2018,Current,whole,DirectPay,8395.77,816.77,704.23,112.54,0.0
5216,,,FL,OWN,33500.0,Not Verified,18.09,,,,0,65.0,1990,0,19,13,88200,21071,0,0,65.0,0,0,0,1,,13,0.0,0,3,65100,18,13,6,1,94.7,0,0,credit_card,individual,12500,36,6.07,380.68,A,A2,Mar-2018,Fully Paid,whole,Cash,0.0,12506.5394965278,12500.0,6.54,0.0
5219,firefighter,10.0,IL,MORTGAGE,108000.0,Not Verified,12.88,,,,0,49.0,2001,7,28,13,154342,77321,0,0,49.0,0,0,3,5,0.0,13,0.0,0,4,64400,15,10,6,3,92.9,0,0,other,individual,10000,60,9.93,212.13,B,B2,Jan-2018,Current,whole,Cash,8931.22,1383.0,1068.78,314.22,0.0
5222,sr operations analyst,4.0,WA,RENT,75000.0,Source Verified,12.81,,,,0,27.0,2005,1,21,12,60307,36594,0,1,34.0,0,0,2,4,11.0,12,0.0,0,5,25200,17,10,6,0,85.7,1,0,credit_card,individual,12000,36,7.96,375.82,A,A5,Mar-2018,Current,whole,DirectPay,11105.43,1122.15,894.57,227.58,0.0
5234,car inspector,6.0,NJ,RENT,75000.0,Source Verified,1.95,,,,0,78.0,2002,0,21,6,42400,5005,0,1,,0,170,0,2,18.0,6,0.0,0,3,39000,16,6,3,0,85.7,1,0,house,individual,24000,60,9.92,508.99,B,B2,Mar-2018,Current,whole,Cash,23060.51,1500.52,939.49,561.03,0.0
5235,director,10.0,CA,MORTGAGE,135000.0,Not Verified,0.0,,,,0,64.0,2001,2,18,4,833600,0,0,0,,0,0,0,2,1.0,4,0.0,0,0,20600,11,3,0,3,100.0,0,0,debt_consolidation,individual,24000,60,9.92,508.99,B,B2,Mar-2018,Current,whole,Cash,22958.93,1600.52,1041.07,559.45,0.0
5241,attorney,10.0,CA,OWN,90000.0,Not Verified,8.84,,,,0,58.0,1996,0,38,20,538300,23755,0,0,,0,0,1,3,18.0,20,0.0,0,5,124300,30,18,7,5,97.2,0,0,debt_consolidation,individual,15000,36,5.32,451.73,A,A1,Feb-2018,Current,whole,DirectPay,13448.8,1802.49,1551.2,251.29,0.0
5242,branch manager,1.0,IL,RENT,75000.0,Not Verified,18.0,,,,0,80.0,2000,6,17,8,79307,50351,0,0,81.0,0,0,3,5,3.0,8,0.0,0,2,27400,8,5,2,1,93.8,0,0,major_purchase,individual,16000,60,11.99,355.84,B,B5,Jan-2018,Current,whole,Cash,15000.36,1768.54,999.64,768.9,0.0
5243,clinical supervisor/behavior analyst,5.0,CA,RENT,74000.0,Source Verified,18.76,,,,0,41.0,2008,0,18,10,67251,45801,0,0,,0,0,2,1,,10,0.0,0,6,24700,12,8,7,0,94.1,0,0,credit_card,individual,30000,36,10.9,980.75,B,B4,Mar-2018,Current,fractional,Cash,27855.89,2924.08,2144.11,779.97,0.0
5244,accountant,4.0,PA,OWN,43000.0,Not Verified,11.44,,,,0,67.0,2005,1,16,9,67803,23661,0,0,,0,0,1,1,4.0,9,0.0,0,4,31000,11,8,6,0,87.5,0,0,credit_card,individual,16000,60,10.42,343.27,B,B3,Jan-2018,Current,fractional,Cash,14498.52,2157.09,1501.48,655.61,0.0
5252,production scheduler,7.0,NH,MORTGAGE,68000.0,Not Verified,14.49,,,,0,47.0,2001,8,40,13,69676,30174,0,0,,0,0,2,3,4.0,13,0.0,0,2,20200,29,11,4,1,97.5,0,0,other,individual,8900,36,7.35,276.24,A,A4,Feb-2018,Current,whole,Cash,8004.91,1101.33,895.09,206.24,0.0
5264,product manager,3.0,OK,MORTGAGE,145000.0,Not Verified,13.49,,,,0,67.0,2000,1,29,12,444019,57047,0,0,,0,0,3,1,10.0,12,0.0,0,4,32200,14,7,6,3,96.3,0,0,major_purchase,individual,18000,36,10.91,588.54,B,B4,Jan-2018,Current,whole,Cash,15836.57,2931.79,2163.43,768.36,0.0
5267,warehouse supervisor,10.0,IL,MORTGAGE,61000.0,Not Verified,12.3,,,,0,41.0,2005,4,23,12,194279,15400,0,0,41.0,0,0,2,6,9.0,12,0.0,0,2,23500,17,9,4,3,91.3,0,0,debt_consolidation,individual,5000,36,6.08,152.3,A,A2,Jan-2018,Current,fractional,Cash,4358.7,759.81,641.3,118.51,0.0
5272,tax manager,5.0,CO,MORTGAGE,104500.0,Source Verified,12.38,,,,0,31.0,2005,3,54,23,544965,98035,0,0,,0,0,9,7,6.0,23,0.0,0,4,27200,15,13,8,4,96.2,0,0,debt_consolidation,individual,17000,60,11.99,378.07,B,B5,Jan-2018,Current,whole,DirectPay,16154.59,1585.89,845.41,740.48,0.0
5284,network administrator,4.0,AZ,MORTGAGE,83000.0,Source Verified,15.95,,,,0,66.0,2002,1,15,6,306429,53889,0,0,66.0,0,495,3,4,10.0,6,0.0,0,1,6500,2,2,2,5,80.0,0,0,debt_consolidation,individual,10000,36,9.44,320.05,B,B1,Jan-2018,Current,whole,Cash,6971.67,3349.71,3028.33,321.38,0.0
5286,social worker ,4.0,AL,RENT,36000.0,Not Verified,4.3,,,,0,44.0,2013,1,4,3,13500,5112,0,0,,0,0,0,1,5.0,3,0.0,0,3,13500,4,3,3,0,75.0,0,0,debt_consolidation,individual,4000,36,7.34,124.14,A,A4,Mar-2018,Current,whole,DirectPay,3699.15,370.79,300.85,69.94,0.0
5293,creative director,3.0,NY,OWN,175000.0,Verified,6.42,,,,0,62.0,1996,2,22,5,756153,101918,0,0,62.0,0,0,0,1,5.0,5,0.0,0,1,3500,6,3,2,2,81.0,0,0,other,individual,25000,60,11.99,555.99,B,B5,Jan-2018,Current,whole,Cash,23438.11,2746.64,1561.89,1184.75,0.0
5301,product manager,10.0,MI,RENT,87000.0,Not Verified,19.96,,,,0,72.0,1997,0,18,9,108900,56226,0,0,72.0,0,0,2,5,19.0,9,0.0,0,2,25600,13,7,6,1,94.4,0,0,credit_card,individual,19000,36,6.72,584.24,A,A3,Feb-2018,Current,whole,Cash,17072.52,2329.87,1927.48,402.39,0.0
5321,pm,10.0,SC,MORTGAGE,68000.0,Verified,13.66,,,,0,58.0,2003,3,23,13,348549,25133,0,0,,0,0,1,5,6.0,13,,0,4,14100,15,11,10,2,96.0,0,0,debt_consolidation,individual,20000,60,10.91,433.96,B,B4,Jan-2018,Current,whole,Cash,18716.23,2145.56,1283.77,861.79,0.0
5323,analyst,2.0,MO,RENT,75000.0,Source Verified,15.04,,,,0,56.0,2010,0,13,11,49871,24608,0,0,,0,0,7,1,,11,0.0,0,3,10000,5,4,4,0,46.2,0,0,credit_card,individual,10300,60,11.99,229.07,B,B5,Feb-2018,Current,whole,DirectPay,9787.76,909.42,512.24,397.18,0.0
5354,juvenile institutional officer ,10.0,CA,RENT,140000.0,Not Verified,7.89,,,,0,28.0,2003,2,11,5,52412,38063,0,0,,0,0,1,1,2.0,5,0.0,0,3,16200,4,4,4,0,100.0,0,0,debt_consolidation,individual,11500,36,6.72,353.62,A,A3,Feb-2018,Current,whole,DirectPay,10333.37,1405.89,1166.63,239.26,0.0
5369,coordinator ,2.0,FL,OWN,25200.0,Not Verified,6.86,,,,0,56.0,2005,1,17,9,15800,2951,0,0,,0,2134,0,6,9.0,9,0.0,0,3,11500,15,9,3,0,94.1,0,0,debt_consolidation,individual,3000,36,11.98,99.62,B,B5,Feb-2018,Current,whole,DirectPay,2788.9,296.86,211.1,85.76,0.0
5385,biostatistician/epidemiologist,10.0,MS,RENT,104000.0,Not Verified,18.24,,,,0,80.0,2001,0,24,13,173610,85080,0,0,,0,0,3,1,,13,0.0,0,8,71800,17,10,9,0,95.8,0,0,debt_consolidation,individual,15000,36,5.32,451.73,A,A1,Feb-2018,Current,fractional,Cash,13348.97,1902.49,1651.03,251.46,0.0
5389,claims specialist,10.0,MS,MORTGAGE,65000.0,Source Verified,15.18,,,,0,32.0,1989,2,28,13,134251,38721,0,0,32.0,0,0,2,6,9.0,13,0.0,0,4,29300,20,10,6,2,96.4,0,0,debt_consolidation,individual,11000,36,9.44,352.06,B,B1,Jan-2018,Current,whole,Cash,9651.31,1748.76,1348.69,400.07,0.0
5412,field foreman ,10.0,LA,OWN,110000.0,Not Verified,12.28,,,,0,39.0,1998,0,13,5,74257,44549,0,0,,0,0,1,1,18.0,5,0.0,0,1,3200,5,3,2,1,92.3,0,0,other,individual,12500,36,9.44,400.07,B,B1,Jan-2018,Current,whole,Cash,10967.39,1993.79,1532.61,461.18,0.0
5413,vice president ,6.0,NY,RENT,240000.0,Verified,2.99,,,,0,62.0,1988,0,28,11,80746,20929,0,0,72.0,0,0,1,2,,11,0.0,0,4,67200,19,10,5,2,96.3,0,0,other,individual,15000,36,5.31,451.66,A,A1,Mar-2018,Current,whole,Cash,13839.02,1346.13,1160.98,185.15,0.0
5417,materials specialist ii,10.0,CA,MORTGAGE,60000.0,Source Verified,12.02,,,,0,28.0,2001,2,19,10,297216,20611,0,0,,0,131,1,5,7.0,10,0.0,0,3,13700,11,7,5,2,94.4,0,0,debt_consolidation,individual,13150,36,6.72,404.36,A,A3,Feb-2018,Current,fractional,DirectPay,11815.97,1649.35,1334.03,315.32,0.0
5463,sr buyer,10.0,TX,MORTGAGE,73000.0,Verified,15.09,,,,0,26.0,2002,1,32,15,351005,45653,0,0,,0,0,1,3,8.0,15,0.0,0,4,74800,24,13,6,4,96.7,0,0,debt_consolidation,individual,25000,36,6.72,768.74,A,A3,Feb-2018,Current,fractional,Cash,23103.2,2296.89,1896.8,400.09,0.0
